pipeline,question,gold_answers,prediction,em,f1,retrieval_hit,retrieval_latency_sec,generation_latency_sec,total_latency_sec,retrieved_chunk_ids,retrieved_scores,dataset
dense,What was special about Tesla's memory?,['eidetic'],photographic,0.0,0.0,0,0.03302989999997408,0.8315675000001193,0.8645974000000933,"[250, 249, 266]","[0.659401535987854, 0.6110472679138184, 0.570888876914978]",squad
sparse,What was special about Tesla's memory?,['eidetic'],genetics and influence,0.0,0.0,1,0.0038506999999299296,0.4044621999998981,0.408312899999828,"[250, 174, 283]","[1.0, 0.9179380207099206, 0.8883128554917666]",squad
hybrid,What was special about Tesla's memory?,['eidetic'],photographic,0.0,0.0,1,0.012305799999921874,0.5422456999999667,0.5545514999998886,"[250, 249, 174]","[0.03278688524590164, 0.031754032258064516, 0.016129032258064516]",squad
dense,What other compensation did Tesla get from Westinghouse?,"['rent at the Hotel New Yorker', 'paying his rent', 'paying his rent at the Hotel New Yorker']",$ 125 per month,0.0,0.0,1,0.006834499999968102,0.7219475000001694,0.7287820000001375,"[232, 192, 198]","[0.7095996141433716, 0.6819339394569397, 0.6399734020233154]",squad
sparse,What other compensation did Tesla get from Westinghouse?,"['rent at the Hotel New Yorker', 'paying his rent', 'paying his rent at the Hotel New Yorker']",$ 125 per month,0.0,0.0,1,0.006014199999981429,0.7099900000000616,0.7160042000000431,"[198, 246, 232]","[1.0, 0.9996941172766726, 0.9103617123747029]",squad
hybrid,What other compensation did Tesla get from Westinghouse?,"['rent at the Hotel New Yorker', 'paying his rent', 'paying his rent at the Hotel New Yorker']",$ 125 per month,0.0,0.0,1,0.011368599999968865,0.7108723999999711,0.72224099999994,"[232, 198, 192]","[0.032266458495966696, 0.032266458495966696, 0.030621785881252923]",squad
dense,What is the colloquial phrase used to convey the continuum of algorithms with unlimited availability irrespective of time? ,['all possible algorithms'],polynomial time algorithm,0.0,0.0,0,0.015182899999899746,0.5587293999999474,0.5739122999998472,"[269, 314, 279]","[0.4472730755805969, 0.43548649549484253, 0.42482811212539673]",squad
sparse,What is the colloquial phrase used to convey the continuum of algorithms with unlimited availability irrespective of time? ,['all possible algorithms'],intractability,0.0,0.0,1,0.002835000000004584,0.6409996999998384,0.643834699999843,"[289, 270, 312]","[1.0, 0.949245476469393, 0.8443717352427176]",squad
hybrid,What is the colloquial phrase used to convey the continuum of algorithms with unlimited availability irrespective of time? ,['all possible algorithms'],all possible algorithms,1.0,1.0,1,0.012049200000092242,0.574269200000117,0.5863184000002093,"[269, 289, 314]","[0.032018442622950824, 0.03177805800756621, 0.031054405392392875]",squad
dense,At what point in Luther's sermons did Schurf write to the elector?,"['After the sixth sermon', 'sixth']",sixth,1.0,1.0,1,0.010963499999888882,0.5156918999998652,0.5266553999997541,"[422, 493, 409]","[0.6852262020111084, 0.5524167418479919, 0.5473812818527222]",squad
sparse,At what point in Luther's sermons did Schurf write to the elector?,"['After the sixth sermon', 'sixth']",sixth,1.0,1.0,1,0.0025786999999581894,0.6013742000000093,0.6039528999999675,"[422, 421, 409]","[1.0, 0.9631075628344512, 0.7750096248153551]",squad
hybrid,At what point in Luther's sermons did Schurf write to the elector?,"['After the sixth sermon', 'sixth']",sixth,1.0,1.0,1,0.00938599999994949,0.6153458000001137,0.6247318000000632,"[422, 421, 409]","[0.03278688524590164, 0.031754032258064516, 0.031746031746031744]",squad
dense,What answer denotes that an algorithm has accepted an input string?,['yes'],yes,1.0,1.0,1,0.01006039999992936,0.619559400000071,0.6296198000000004,"[274, 271, 273]","[0.6008038520812988, 0.5203975439071655, 0.47864240407943726]",squad
